2025-01-21 16:12:41,938 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-01-21 16:12:41,940 | MainThread   | [INFO    ] | <module>            |: info
2025-01-21 16:12:41,941 | MainThread   | [WARNING ] | <module>            |: warning
2025-01-21 16:12:41,942 | MainThread   | [ERROR   ] | <module>            |: error
2025-01-21 16:12:41,943 | MainThread   | [CRITICAL] | <module>            |: critical
2025-01-21 16:12:53,811 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=13, micro=1, releaselevel='final', serial=0)
2025-01-21 16:12:53,811 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.1-arm64-arm-64bit-Mach-O
2025-01-21 16:12:53,811 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-21 16:13:00,602 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-21 16:13:03,580 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-01-21 16:15:16,092 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-01-27 11:16:58,907 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=13, micro=1, releaselevel='final', serial=0)
2025-01-27 11:16:58,907 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.1-arm64-arm-64bit-Mach-O
2025-01-27 11:16:58,907 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-27 11:17:02,096 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-01-27 11:21:23,460 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-01-27 11:21:42,060 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=13, micro=1, releaselevel='final', serial=0)
2025-01-27 11:21:42,061 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.1-arm64-arm-64bit-Mach-O
2025-01-27 11:21:42,061 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-27 11:21:45,448 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-01-27 11:23:03,903 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-01-27 11:23:34,789 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-27 11:23:37,827 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-01-27 11:28:52,643 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-01-27 11:30:30,456 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-27 11:30:33,806 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-01-27 11:31:22,797 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-01-27 11:31:36,898 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-27 11:31:39,838 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-01-27 11:43:52,100 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-01-27 11:44:10,785 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-27 11:44:13,867 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-01-27 11:58:22,237 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-01-27 11:58:52,529 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-27 11:58:55,471 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-01-27 12:00:56,354 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-01-27 12:14:46,418 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-01-27 12:14:58,840 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-27 12:15:02,453 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-01-27 12:18:51,210 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-27 12:19:27,284 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-27 12:19:50,637 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-01-27 12:21:26,873 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-27 12:21:29,887 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-01-27 12:29:13,727 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
