2025-04-29 15:38:15,111 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=13, micro=1, releaselevel='final', serial=0)
2025-04-29 15:38:15,111 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.1-arm64-arm-64bit-Mach-O
2025-04-29 15:38:15,112 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-04-29 15:38:18,345 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-04-29 15:41:45,267 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-29 15:42:52,513 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-04-29 15:43:24,724 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-04-29 15:43:29,749 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-04-29 15:44:06,506 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-04-29 15:45:22,751 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-04-29 15:45:25,940 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-04-29 15:47:34,907 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-29 15:52:12,327 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-04-29 15:52:42,604 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=13, micro=1, releaselevel='final', serial=0)
2025-04-29 15:52:42,604 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.1-arm64-arm-64bit-Mach-O
2025-04-29 15:52:42,604 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-04-29 15:52:46,041 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-04-29 15:53:39,739 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-29 15:54:01,873 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-29 15:54:26,963 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-29 15:57:01,426 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-29 15:57:55,461 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-04-29 15:58:03,241 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-04-29 15:58:06,319 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-04-29 16:02:25,921 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-29 16:03:42,018 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-04-29 16:03:53,537 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-04-29 16:03:56,697 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-04-29 16:04:59,866 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-04-29 16:05:15,379 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-04-29 16:05:19,048 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-04-29 16:06:13,607 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-04-29 16:06:18,863 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-04-29 16:06:22,768 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-04-29 16:06:42,945 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-04-29 16:07:24,507 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-04-29 16:07:27,690 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-04-29 16:09:07,058 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-04-29 16:09:35,621 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-04-29 16:09:38,639 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-04-29 16:10:40,517 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
