2025-04-15 11:56:55,966 | MainThread   | [INFO    ] | stop                |: Simulator is stopped
2025-04-15 11:56:57,598 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2025-04-15 11:58:01,975 | MainThread   | [INFO    ] | stop                |: Simulator is stopped
2025-04-15 11:58:04,132 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2025-04-15 12:00:25,530 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2025-04-15 12:07:08,001 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2025-04-15 12:15:34,447 | MainThread   | [INFO    ] | stop                |: Simulator is stopped
2025-04-15 12:15:34,451 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2025-04-15 14:55:43,153 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2025-04-15 14:55:43,777 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2025-04-21 22:16:50,549 | MainThread   | [ERROR   ] | on_click_sim_reset  |: Simulator is not running
2025-04-21 22:16:51,411 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2025-04-21 22:17:06,345 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2025-04-21 22:25:50,520 | MainThread   | [INFO    ] | on_click_sim_reset  |: Resetting Simulator
2025-04-21 22:25:51,329 | MainThread   | [INFO    ] | on_click_plotter_reset|: Resetting Plotter
2025-04-21 22:25:52,136 | MainThread   | [INFO    ] | on_click_plotter_reset|: Resetting Plotter
2025-04-21 22:25:52,946 | MainThread   | [INFO    ] | on_click_plotter_reset|: Resetting Plotter
2025-04-21 22:26:10,434 | MainThread   | [INFO    ] | stop                |: Simulator is stopped
2025-04-21 22:26:11,316 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2025-04-21 22:26:12,637 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2025-04-21 22:26:13,254 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2025-04-21 22:27:46,087 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2025-04-21 22:27:47,381 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2025-04-21 22:27:51,641 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2025-04-21 22:38:36,660 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2025-04-21 22:38:37,308 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
