2025-04-29 14:23:09,990 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-29 14:23:12,981 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-29 14:23:12,989 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (7, 2, 5)
2025-04-29 14:23:12,990 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(7), np.int64(2), np.int64(6)) with prob = 1.0
2025-04-29 14:23:12,991 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.020728605709564352
2025-04-29 14:23:12,992 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.514, -0.535, 657.070)
2025-04-29 14:23:12,994 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.610, -0.610, -50.000)
2025-04-29 14:23:12,995 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.096, 0.074, 707.070)
2025-04-29 14:23:12,997 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-29 14:23:14,066 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-29 14:23:14,069 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (7, 2, 4)
2025-04-29 14:23:14,075 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(6), np.int64(2), np.int64(5)) with prob = 0.1195928
2025-04-29 14:23:14,077 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.209, 0.074, 704.532)
2025-04-29 14:23:14,079 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-29 14:23:17,011 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-29 14:23:17,021 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (7, 2, 4)
2025-04-29 14:23:17,023 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(6), np.int64(2), np.int64(4)) with prob = 1.0
2025-04-29 14:23:17,023 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.06511599345764242
2025-04-29 14:23:17,024 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.514, -0.535, 994.532)
