2025-04-15 11:58:05,070 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.13.1 (v3.13.1:06714517797, Dec  3 2024, 14:00:22) [Clang 15.0.0 (clang-1500.3.9.4)]
2025-04-15 11:58:05,073 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2025-04-15 11:58:05,073 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2025-04-15 11:58:05,073 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2025-04-15 11:58:05,073 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2025-04-15 11:58:05,073 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2025-04-15 11:58:05,073 | MainThread   | [DEBUG   ] | run                 |: ------------------

2025-04-15 11:58:21,726 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Odometry
2025-04-15 11:58:22,455 | MainThread   | [DEBUG   ] | show_plot           |: Show Odometry
2025-04-15 11:58:22,943 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Odometry
2025-04-15 11:58:23,468 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Ground Truth
2025-04-15 11:58:29,275 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Distribution
2025-04-15 11:58:29,799 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Map
2025-04-15 12:00:07,286 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-15 12:00:24,733 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2025-04-15 12:00:24,734 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2025-04-15 12:00:33,828 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.13.1 (v3.13.1:06714517797, Dec  3 2024, 14:00:22) [Clang 15.0.0 (clang-1500.3.9.4)]
2025-04-15 12:00:33,830 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2025-04-15 12:00:33,830 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2025-04-15 12:00:33,830 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
