tof,yaw,times,motor,orient_targ,time
830,-1,177338,110,0,177037
847,20,177669,110,0,177043
2140,24,177791,110,0,177054
2424,33,178035,110,0,177072
2410,45,178230,110,0,177079
2395,45,178357,110,0,177090
1895,65,178708,110,0,177101
1800,70,178835,110,0,177113
751,83,179089,110,0,177126
717,88,179243,110,0,177136
757,104,179523,110,0,177153
804,110,179684,110,0,177164
2229,124,179985,110,0,177177
2283,131,180152,110,0,177186
2066,143,180397,110,0,177197
1913,149,180568,-140,0,177215
1702,162,180825,-140,0,177224
1642,169,181036,-140,0,177225
1601,-177,181277,-140,0,177226
1584,-172,181453,-140,0,177228
814,-153,181754,-140,0,177229
817,-153,181881,-140,0,177230
1129,-135,182192,-110,10,177341
1537,-129,182310,-110,10,177349
1603,-112,182562,-110,10,177365
1616,-110,182679,-110,10,177383
1473,-95,182968,-110,10,177393
1462,-91,183090,-110,10,177403
1496,-79,183363,-110,10,177413
1533,-71,183520,-110,10,177431
1672,-57,183845,-110,10,177440
1720,-52,184026,-110,10,177446
2329,-36,184305,-110,10,177455
2276,-29,184458,-110,10,177467
883,-15,184735,-110,10,177477
879,-10,184862,-110,10,177488
791,4,185150,-110,10,177501
782,10,185315,-110,10,177512
2583,28,185627,-110,10,177522
2689,29,185749,140,10,177539
2459,42,186036,140,10,177549
2283,48,186177,140,10,177550
2431,64,186491,140,10,177551
2219,70,186645,140,10,177553
748,86,186924,140,10,177557
749,87,187047,140,10,177558
708,106,187386,-140,20,177672
705,107,187508,-110,30,177794
865,114,188548,-110,30,177802
2237,133,188892,-110,30,177818
2252,139,189036,-110,30,177830
1827,155,189324,-110,30,177846
1848,156,189451,-110,30,177857
1634,172,189769,-110,30,177873
1610,176,189912,-110,30,177884
1503,-165,190229,-110,30,177890
1372,-160,190351,-110,30,177899
939,-141,190654,-110,30,177910
993,-138,190781,-110,40,178038
1606,-126,191041,-110,40,178042
1668,-118,191278,-110,40,178052
1606,-109,191463,-110,40,178063
1523,-97,191734,-110,40,178079
1526,-91,191899,-110,40,178083
1585,-76,192197,140,40,178097
1641,-72,192340,140,40,178111
1761,-55,192652,140,40,178113
1855,-51,192770,140,40,178114
2302,-37,193044,140,40,178115
2074,-31,193208,-140,50,178233
914,-18,193453,-110,60,178360
811,-6,193707,-110,60,178368
801,0,193864,-110,60,178379
