tof,yaw,times,motor,orient_targ,times
399,-8,344320,140,0,344037
394,20,344669,140,0,344043
390,22,344796,140,0,344044
429,31,345047,140,0,344045
488,40,345260,140,0,344046
537,54,345479,140,0,344047
446,63,345714,140,0,344053
421,69,345884,140,0,344054
375,81,346138,140,0,344055
370,87,346314,140,0,344057
366,104,346588,140,0,344063
364,110,346745,140,0,344064
413,123,347017,140,0,344065
437,129,347170,140,0,344066
563,144,347448,140,0,344067
1081,154,347695,110,0,344074
1329,163,347909,110,0,344083
1968,173,348169,110,0,344089
2812,179,348340,110,0,344095
2827,-170,348877,110,0,344099
3217,-158,349190,110,0,344117
3133,-151,349357,110,0,344127
3261,-146,349913,110,0,344144
953,-119,350264,110,0,344154
985,-117,350386,110,0,344170
801,-106,350646,-140,0,344178
827,-99,350795,-140,0,344197
2486,-83,351073,-140,0,344198
2928,-82,351195,-140,0,344199
1374,-65,351530,-140,0,344200
1389,-64,351657,-110,10,344323
711,-43,351995,-110,10,344331
695,-42,352122,-110,10,344342
500,-25,352433,-110,10,344353
482,-21,352556,-110,10,344364
436,-8,352828,-110,10,344374
438,0,352995,-110,10,344386
434,11,353243,-110,10,344398
469,23,353491,-110,10,344407
464,29,353648,-110,10,344418
584,51,353966,-110,10,344436
548,54,354088,-110,10,344445
474,61,354287,-110,10,344451
431,69,354511,-110,10,344456
381,82,354734,-110,10,344468
369,93,354980,-110,10,344477
360,103,355231,-110,10,344488
372,115,355481,-110,10,344506
379,116,355604,-110,10,344515
489,135,355918,140,10,344533
560,141,356036,140,10,344543
751,153,356256,140,10,344544
1159,160,356456,140,10,344545
2594,174,356733,140,10,344551
2756,178,356876,140,10,344552
2960,-169,357154,140,10,344553
3150,-157,357402,140,10,344554
3300,-150,357568,-140,20,344672
2814,-137,357821,-110,30,344799
1662,-130,357987,-110,30,344807
964,-117,358248,-110,30,344818
887,-112,358425,-110,30,344829
807,-97,358699,-110,30,344840
868,-92,358875,-110,30,344852
2755,-77,359161,-110,30,344864
2294,-69,359318,-110,30,344875
1015,-56,359620,-110,30,344879
884,-50,359790,-110,30,344891
658,-39,360046,-110,30,344901
606,-33,360211,-110,30,344907
492,-14,360509,140,30,344918
496,-14,360631,140,30,344928
451,8,360965,140,30,344929
