tof,yaw,times,motor,orient_targ,times
550,-4,101407,110,0,100977
546,15,101772,110,0,100978
554,21,101894,110,0,100992
501,32,102152,110,0,100998
490,39,102312,110,0,101006
492,54,102579,110,0,101018
493,61,102730,110,0,101027
555,73,102998,110,0,101038
589,80,103158,110,0,101050
703,92,103418,110,0,101054
830,100,103632,110,0,101060
1420,112,103866,110,0,101070
2373,123,104087,110,0,101081
2580,130,104242,110,0,101091
336,141,104476,110,0,101102
331,149,104647,110,0,101114
335,166,104909,110,0,101127
333,167,105031,110,0,101137
433,-179,105327,110,0,101149
514,-167,105543,110,0,101159
757,-158,105738,110,0,101170
3126,-149,105955,110,0,101181
2837,-142,106125,110,0,101193
2323,-125,106416,110,0,101203
2224,-120,106538,110,0,101220
1336,-107,106803,110,0,101230
1130,-103,106979,110,0,101241
671,-85,107259,110,0,101252
670,-81,107386,110,0,101259
548,-69,107650,110,0,101266
530,-62,107820,110,0,101277
504,-49,108065,-140,0,101289
509,-36,108318,-140,0,101293
523,-30,108478,-140,0,101294
564,-17,108740,-110,10,101410
573,-12,108884,-110,10,101418
676,4,109188,-110,10,101429
654,12,109335,-110,10,101440
541,27,109589,-110,10,101451
540,28,109711,-110,10,101461
497,45,110035,-110,10,101467
493,49,110157,-110,10,101474
515,63,110457,-110,10,101485
520,67,110600,-110,10,101496
623,83,110915,-110,10,101508
703,90,111075,-110,10,101518
1116,103,111333,-110,10,101523
1008,110,111493,-110,10,101531
2365,121,111763,-110,10,101543
2715,129,111918,-110,10,101553
302,147,112203,-110,10,101564
296,149,112325,-110,10,101577
305,164,112618,-110,10,101588
342,171,112852,-110,10,101598
394,-179,113061,-110,10,101610
461,-172,113242,-110,10,101614
744,-159,113484,-110,10,101625
2879,-146,113735,-110,10,101636
2892,-140,113893,140,10,101649
2881,-133,114493,140,10,101653
2066,-115,114796,140,10,101654
2108,-114,114914,140,10,101655
1066,-99,115251,140,10,101656
871,-92,115421,140,10,101662
651,-78,115695,-140,20,101775
634,-72,115835,-110,30,101897
540,-56,116159,-110,30,101901
531,-49,116321,-110,30,101912
535,-39,116587,-110,30,101922
542,-32,116756,-110,30,101932
588,-14,117048,-110,30,101943
590,-12,117166,-110,30,101954
695,2,117468,-110,30,101960
